;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30;Design 31;Design 32;Design 33;Design 34;Design 35;Design 36;Design 37;Design 38;Design 39;Design 40;Design 41;Design 42;Design 43;Design 44;Design 45;Design 46;Design 47;Design 48;Design 49;Design 50;Design 51;Design 52;Design 53;Design 54;Design 55;Design 56;Design 57;Design 58;Design 59;Design 60;Design 61;Design 62;Design 63;Design 64;Design 65;Design 66;Design 67;Design 68;Design 69;Design 70;Design 71;Design 72;Design 73;Design 74;Design 75;Design 76;Design 77;Design 78;Design 79;Design 80;Design 81
CL cruise [-];0.4378343608314263;0.4378343608314263;0.43783436083142624;0.32167422428431314;0.3216742242843131;0.3216742242843131;0.2462818279676772;0.24628182796767714;0.2462818279676772;0.6122272062217413;0.6122272062217414;0.6122272062217413;0.4497995800812793;0.4497995800812794;0.44979958008127935;0.3443778034997296;0.3443778034997295;0.3443778034997295;0.872493018081758;0.872493018081758;0.8724930180817582;0.6410152785906794;0.6410152785906794;0.6410152785906794;0.49077732267098895;0.4907773226709888;0.4907773226709889;0.5108067543033306;0.5108067543033307;0.5108067543033307;0.37528659499836525;0.37528659499836525;0.37528659499836525;0.2873287992956233;0.2873287992956234;0.2873287992956234;0.7142650739253649;0.7142650739253649;0.7142650739253649;0.5247661767614926;0.5247661767614925;0.5247661767614925;0.4017741040830178;0.4017741040830177;0.40177410408301784;1.0;1.0;1.0;0.7478511583557926;0.7478511583557927;0.7478511583557926;0.5725735431161537;0.5725735431161537;0.5725735431161537;0.5837791477752351;0.583779147775235;0.583779147775235;0.4288989657124174;0.4288989657124175;0.42889896571241753;0.3283757706235696;0.32837577062356954;0.32837577062356954;0.8163029416289885;0.8163029416289884;0.8163029416289885;0.5997327734417057;0.5997327734417057;0.5997327734417057;0.4591704046663061;0.45917040466630604;0.45917040466630604;1.0;1.0;1.0;0.854687038120906;0.854687038120906;0.854687038120906;0.6543697635613185;0.6543697635613185;0.6543697635613185
CD cruise [-];0.03257;0.03103;0.0299;0.02861;0.02747;0.02673;0.02593;0.02531;0.02479;0.04031;0.03735;0.03523;0.03278;0.03096;0.02966;0.02832;0.02724;0.02643;0.05662;0.05028;0.04636;0.04141;0.03815;0.0356;0.03306;0.03123;0.02988;0.03742;0.03527;0.03374;0.03193;0.03078;0.02974;0.02861;0.02784;0.02723;0.04793;0.04383;0.04098;0.0376;0.03541;0.03385;0.03194;0.03042;0.02946;0.06808;0.06013;0.05486;0.04941;0.04498;0.04197;0.03845;0.03577;0.03406;0.04278;0.03974;0.038;0.03571;0.03415;0.03306;0.03163;0.03052;0.0298;0.05626;0.05068;0.04729;0.04312;0.04008;0.03813;0.03566;0.03379;0.03267;0.06995;0.06199;0.05667;0.05823;0.05248;0.04857;0.044;0.04103;0.03856
L/D-ratio;13.44287260765816;14.110034187284123;14.643289659913922;11.24341923398508;11.71001908570488;12.034202180483094;9.49794940099025;9.730613511168595;9.934724807086615;15.187973361988126;16.39162533391543;17.378007556677304;13.721768763919442;14.52841020934365;15.165191506449068;12.160233174425478;12.64235695667142;13.029807169872475;15.409625893354965;17.35268532382176;18.819952935326967;15.479721772293633;16.802497472888057;18.00604715142358;14.845049082607046;15.71493188187604;16.424943864490928;13.650634802333792;14.482754587562535;15.139500720312112;11.753416692714227;12.192546946015765;12.61891711494167;10.04294999285646;10.320718365503714;10.551920649857633;14.902254828403189;16.296259957229406;17.429601608720468;13.956547254295016;14.819716937630403;15.502693552776737;12.579026427145202;13.207564236785593;13.637953295418122;14.688601645123384;16.630633627141194;18.22821728034998;15.1356235247074;16.626304098617002;17.81870760914445;14.891379534880462;16.00708814973871;16.810732328718547;13.646076385582868;14.689963456850403;15.362609151979868;12.0106123134253;12.55926693154956;12.973350445021705;10.381782188541562;10.759363388714599;11.019321161864749;14.509472833789346;16.10700358383955;17.26163970456732;13.908459495401338;14.963392550940762;15.72863292530044;12.876343372582898;13.588943612497959;14.054802713997738;14.295925661186562;16.131634134537826;17.64602082230457;14.677778432438709;16.28595728126726;17.59701540294227;14.872040080939056;15.948568451409177;16.970170216839172
C_t [kg/Ns];1.085301902178432e-05;1.085301902178432e-05;1.085301902178432e-05;1.266185552541504e-05;1.266185552541504e-05;1.266185552541504e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.027113799312504e-05;1.027113799312504e-05;1.027113799312504e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.3694850657500055e-05;1.3694850657500055e-05;1.3694850657500055e-05;1.085301902178432e-05;1.085301902178432e-05;1.085301902178432e-05;1.266185552541504e-05;1.266185552541504e-05;1.266185552541504e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.027113799312504e-05;1.027113799312504e-05;1.027113799312504e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.3694850657500055e-05;1.3694850657500055e-05;1.3694850657500055e-05;1.085301902178432e-05;1.085301902178432e-05;1.085301902178432e-05;1.266185552541504e-05;1.266185552541504e-05;1.266185552541504e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.4470692029045761e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.0566084836897463e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.2327098976380373e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.4088113115863284e-05;1.027113799312504e-05;1.027113799312504e-05;1.027113799312504e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.1982994325312547e-05;1.3694850657500055e-05;1.3694850657500055e-05;1.3694850657500055e-05
Oswald factor [-];0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85
Aspect ratio [-];8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0;8.0;10.0;12.0
Surface area [m^2];233.2648287548519;237.64846553678788;241.2791649187648;240.51306349796215;249.34913346131069;255.00856563687609;255.78201069398543;262.7879062428084;269.78630373570115;231.95236384679848;235.9458575474456;239.4126297342844;239.12763646429528;247.3864446021314;252.82567543779678;253.92012062512626;260.69169838212446;267.44595686056084;231.1043383941427;234.61356020929006;237.6120969027273;238.31609958463804;242.3643800128445;251.71605588522607;252.03869895211088;258.79576844767945;265.51652631548654;197.36476465146944;200.39101509438672;203.04182070318276;202.85982097311475;205.93855645964751;212.54784436724898;213.70598528619865;218.6361773263953;223.4979202388014;194.18261575086885;199.58332213285883;201.90525829417592;202.03827403685534;205.06943917139643;208.02504865418496;209.11202483228138;217.3219710070815;222.06187480550568;194.18261575086885;198.9194568157936;201.23982001231582;201.48023480172895;204.33634690801327;207.2605578964955;207.66064665396001;215.38384701468198;220.01482167351315;169.90978878201022;173.85037997999405;175.71481054368053;175.67345479781338;178.05129509143353;180.35589624668313;181.46296001576624;187.54001479796895;191.12905596066446;169.90978878201022;173.30527963409747;175.16671692893223;175.23189154057587;177.4767888308556;179.76715328897149;180.72378468082417;186.6881326501986;190.25710997408783;169.90978878201022;172.7392594909497;174.59932000744098;174.96586490996336;177.05738629550453;179.08217893667089;179.58722507361912;182.04284059084364;188.16195471777579
Span [m];43.19859523223892;48.74920158697862;53.80845638954139;43.86461567121838;49.934870928171094;55.31819580971991;45.23556217791356;51.2628429023214;56.8984678601139;43.07689532422674;48.574258362577766;53.59992123885457;43.73809657168865;49.73795779906242;55.08092324256703;45.07062197264433;51.05797669141664;56.65113840274289;42.99807794719598;48.43692395366267;53.39798837814705;43.66381564496058;49.23051695979279;54.959918764702635;44.903336085606014;50.87197346748791;56.44641986685992;39.73560264060123;44.76505502000268;49.36093443643661;40.28496701978193;45.3804535521239;50.50320912978687;41.347888486470374;46.758547595749306;51.78778854967276;39.413968666031984;44.67474925870976;49.22258729008575;40.20331071310972;45.28459331509961;49.96299214268716;40.901053759753566;46.61780464662418;51.62114390117743;39.413968666031984;44.600387533719214;49.14140657477958;40.147750602167385;45.20357805616866;49.871100797535505;40.75886619168497;46.40946530770226;51.38266108408709;36.86839175033381;41.695369045014345;45.919252242650536;37.48850008179184;42.19612483290776;46.521723473665475;38.10122937814645;43.30589045360561;47.8910082534078;36.86839175033381;41.62995071268971;45.847580123133945;37.441355909269724;42.1279941168406;46.445730045588235;38.02354898541946;43.20742212284813;47.78164207819834;36.86839175033381;41.56191279175559;45.77326556068828;37.41292449514882;42.07818749607741;46.357158532852836;37.90379665137719;42.666478714658844;47.517822515486856
Root chord [m];7.7140348628998066;6.9641716552826605;6.405768617802546;7.832967084146141;7.133552989738728;6.585499501157131;8.786274539393089;7.9655808788332205;7.367736583348066;7.692302736469062;6.939179766082538;6.380943004625543;7.810374387801544;7.105422542723202;6.557252766972266;8.75423757872972;7.933747326889729;7.335710091954798;7.678228204856428;6.919560564808954;6.35690337835084;7.797109936600104;7.0329309942561125;6.542847471988409;8.721745007413732;7.904844838458664;7.309201254321023;7.095643328678792;6.3950078600003835;5.876301718623405;7.193744110675346;6.482921936017701;6.0122868011651045;8.031156956500013;7.265671811460287;6.7059588529903555;7.038208690362854;6.382107036958537;5.859831820248304;7.179162627341021;6.469227616442801;5.947975255081806;7.9443665554605065;7.243802182682229;6.684380172239994;7.038208690362854;6.3714839333884585;5.850167449378522;7.169241178958463;6.457654008024095;5.937035809230417;7.916748925680076;7.211428951693316;6.653499225141448;6.583641383988179;5.9564812921449075;5.466577647934588;6.694375014605687;6.028017833272538;5.538300413531605;7.400546063473835;6.72917367449525;6.201367924168748;6.583641383988179;5.947135816098531;5.458045252754042;6.6859564123695945;6.018284873834372;5.529253576855743;7.385457906635135;6.7138729730857145;6.187206186596963;6.583641383988179;5.937416113107942;5.449198281034319;6.680879374133719;6.011169642296773;5.518709349149147;7.362197957317158;6.629817383796337;6.153044404800465
Tip chord [m];3.0856139451599227;2.785668662113064;2.5623074471210185;3.1331868336584563;2.8534211958954914;2.6341998004628526;2.5226160050852995;2.2869877016310607;2.1153413933375833;3.0769210945876253;2.7756719064330153;2.5523772018502173;3.1241497551206177;2.8421690170892813;2.6229011067889068;2.513417914431364;2.2778480113935973;2.1061463085023484;3.071291281942571;2.7678242259235817;2.5427613513403364;3.1188439746400416;2.813172397702445;2.617138988795364;2.5040890139877696;2.2695498550389206;2.0985353901556305;2.838257331471517;2.5580031440001534;2.3505206874493623;2.8774976442701385;2.5931687744070806;2.404914720466042;2.305815165117581;2.0860377076895733;1.9253392386217694;2.815283476145142;2.552842814783415;2.3439327280993214;2.8716650509364086;2.5876910465771203;2.3791901020327226;2.280896884477883;2.079758746642607;1.9191438112895784;2.815283476145142;2.5485935733553835;2.3400669797514086;2.8676964715833853;2.583061603209638;2.3748143236921666;2.2729676222411666;2.0704641098471352;1.910277622206399;2.6334565535952716;2.382592516857963;2.1866310591738354;2.677750005842275;2.4112071333090155;2.215320165412642;2.124761281062775;1.9320044162258705;1.7804667847325504;2.6334565535952716;2.3788543264394124;2.183218101101617;2.674382564947838;2.407313949533749;2.2117014307422975;2.12042933971973;1.9276114514839113;1.7764008264360927;2.6334565535952716;2.374966445243177;2.179679312413728;2.6723517496534877;2.4044678569187092;2.207483739659659;2.1137512055271404;1.9034783591354327;1.7665926811140102
Quarter chord sweep [deg];0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075;0.0;0.0;0.0;0.0;0.0;0.0;0.5644564179191075;0.5644564179191075;0.5644564179191075
Taper ratio [-];0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847;0.4;0.4;0.4;0.4;0.4;0.4;0.28710871641617847;0.28710871641617847;0.28710871641617847
Fuselage length [m];50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524;50.42263686839524
